obat,kategori_demand,metode_terbaik,WAPE_test,parameter,ABC,VEN,AMC,safety_stock,Min,Max,stok_terkini,status,perlu_pesan,WAPE_E2,mutu,skor_prioritas,kritis
DIAFORM TABLET,intermittent,-,,-,A,V,212.4,321,533,879,4.0,DI BAWAH MIN,875,,N/A,6,True
ORALITE,smooth,SES,70.01379924238653,alpha=0.45,A,V,112.8,105,218,374,20.0,DI BAWAH MIN,354,85.5,Bad,6,True
METHYLPREDNISOLONE 4 MG TABLET,erratic,SES,41.371148869198734,alpha=0.33,A,E,761.4,1145,1907,3142,1040.0,DI BAWAH MIN,2102,49.9,Good,5,True
BECOMZET TABLET,erratic,SES,114.66073406522766,alpha=0.91,A,E,628.5,923,1551,2562,678.0,DI BAWAH MIN,1884,56.5,Bad,5,True
NEO-PROTIFED (TRIPROLIDIN + PSEUDOEFEDRIN) TAB,intermittent,-,,-,A,E,554.8,744,1299,2162,390.0,DI BAWAH MIN,1772,,N/A,5,True
PROMEDEX TAB,lumpy,SBA,254.21052631578945,"az=0.5,ap=0.5",A,E,380.6,1264,1645,2548,1533.0,DI BAWAH MIN,1015,145.3,Tidak Layak,5,True
OMEPRAZOLE KAPSUL,erratic,SES,44.46309764547097,alpha=0.35,A,E,337.5,753,1090,1739,890.0,DI BAWAH MIN,849,63.1,Bad,5,True
BECEFORT TAB,lumpy,-,,-,A,E,166.2,327,493,794,10.0,DI BAWAH MIN,784,,N/A,5,True
NEUROBION PUTIH TABLET,smooth,SES,110.75324177193467,alpha=0.77,A,E,240.8,325,565,940,250.0,DI BAWAH MIN,690,33.7,Good,5,True
TRIANTA TABLET,lumpy,-,,-,A,E,128.8,268,397,637,5.0,DI BAWAH MIN,632,,N/A,5,True
GRANTUSIF TABLET,smooth,SES,93.06104248646069,alpha=0.01,A,E,318.8,382,701,1178,665.0,DI BAWAH MIN,513,30.1,Good,5,True
NEUROBION FORTE/PINK TABLET,lumpy,SBA,529.2261517872832,"az=0.5,ap=0.05",A,E,117.0,318,435,684,217.0,DI BAWAH MIN,467,128.2,Tidak Layak,5,True
CEFADROXIL 500MG KAPSUL,erratic,SES,174.95735203529804,alpha=0.99,A,E,202.1,404,606,976,565.0,DI BAWAH MIN,411,71.4,Bad,5,True
ZEGAVIT TABLET,intermittent,-,,-,A,E,139.5,182,322,537,270.0,DI BAWAH MIN,267,,N/A,5,True
DEXAMETHASONE TABLET,data tidak cukup,aturan stok,,-,B,E,936.0,0,936,1872,692.0,DI BAWAH MIN,1180,,N/A,4,True
SELCOM C TABLET,lumpy,-,,-,B,E,82.5,267,350,543,15.0,DI BAWAH MIN,528,,N/A,4,True
ARKAVIT-C TABLET,lumpy,SBA,100.12397157816004,"az=0.05,ap=0.05",B,E,50.0,241,291,441,0.0,DI BAWAH MIN,441,123.7,Tidak Layak,4,True
POLYSILANE TABLET,lumpy,-,,-,B,E,50.0,179,229,353,40.0,DI BAWAH MIN,313,,N/A,4,True
INTRIZIN TAB (CETIRIZIN),lumpy,-,,-,B,E,95.0,201,296,474,170.0,DI BAWAH MIN,304,,N/A,4,True
KETOCONAZOLE SALEP,lumpy,Croston,411.5679304589182,"az=0.35,ap=0.05",C,V,13.4,28,41,66,26.0,DI BAWAH MIN,40,85.5,Bad,4,True
LACTO B,intermittent,-,,-,C,V,6.7,16,23,36,9.0,DI BAWAH MIN,27,,N/A,4,True
SCABICID (PERMEHETRIN 5%) CREAM 10G,intermittent,-,,-,C,V,0.6,2,3,4,2.0,DI BAWAH MIN,2,,N/A,4,True
SCABIMITE SALEB 30G,data tidak cukup,aturan stok,,-,C,V,0.2,1,2,2,0.0,DI BAWAH MIN,2,,N/A,4,True
SCABIMITE SALEB 10G,data tidak cukup,aturan stok,,-,C,V,0.1,1,1,1,0.0,DI BAWAH MIN,1,,N/A,4,True
Betadine 15 ml,data tidak cukup,aturan stok,,-,C,V,0.1,1,1,1,1.0,DI BAWAH MIN,0,,N/A,4,True
ULTRAFIX,data tidak cukup,aturan stok,,-,C,V,0.0,0,0,0,0.0,DI BAWAH MIN,0,,N/A,4,True
superhoid Supp,data tidak cukup,aturan stok,,-,C,V,0.0,0,0,0,0.0,DI BAWAH MIN,0,,N/A,4,True
HISTIGO (BETAHISTIN) 6 MG TABLET,smooth,SES,75.01718985223081,alpha=0.11,B,N,72.2,78,150,255,62.0,DI BAWAH MIN,193,86.0,Bad,3,True
MADU TJ SACHET,lumpy,Croston,100.3935957968946,"az=0.05,ap=0.05",C,E,9.8,40,50,76,7.0,DI BAWAH MIN,69,111.5,Tidak Layak,3,True
TREMENZA TAB,data tidak cukup,aturan stok,,-,C,E,16.7,92,108,163,100.0,DI BAWAH MIN,63,,N/A,3,True
AMBEVEN TABLET,intermittent,Croston,11.586563307493531,"az=0.5,ap=0.5",C,E,25.0,36,61,101,40.0,DI BAWAH MIN,61,60.0,Bad,3,True
CURVIT TABLET,lumpy,-,,-,C,E,9.2,25,34,53,15.0,DI BAWAH MIN,38,,N/A,3,True
HOT IN CREAM  60G,intermittent,-,,-,C,E,6.9,15,22,36,7.0,DI BAWAH MIN,29,,N/A,3,True
KETOROLAC INJEKSI,erratic,SES,153.05731782448163,alpha=0.91,C,E,8.0,15,23,37,9.0,DI BAWAH MIN,28,26.0,Good,3,True
DEXAMETHASONE INJEKSI,erratic,SES,354.4466288647321,alpha=0.71,C,E,5.7,17,22,35,10.0,DI BAWAH MIN,25,118.0,Tidak Layak,3,True
HUFABETHAMINE SIRUP,erratic,SES,9.121678788352341,alpha=0.65,C,E,7.5,10,17,29,4.0,DI BAWAH MIN,25,62.1,Bad,3,True
FIBUMIN KAP,data tidak cukup,aturan stok,,-,C,E,3.3,19,22,33,10.0,DI BAWAH MIN,23,,N/A,3,True
BUSCOPAN INJEKSI,intermittent,-,,-,C,E,4.4,8,12,20,2.0,DI BAWAH MIN,18,,N/A,3,True
WOODS ANTITUSIVE SIRUP 100ML,lumpy,SBA,257.41905092012445,"az=0.5,ap=0.15",C,E,3.1,9,12,18,1.0,DI BAWAH MIN,17,133.5,Tidak Layak,3,True
WOODS EKSPEKTORAN SIRUP 100ML,smooth,SES,140.53202477271782,alpha=0.01,C,E,5.9,7,13,22,6.0,DI BAWAH MIN,16,58.3,Bad,3,True
COUNTERPAIN CREAM 30G,intermittent,-,,-,C,E,3.5,9,13,20,5.0,DI BAWAH MIN,15,,N/A,3,True
HUFAGRIP BP HIJAU SIRUP,intermittent,Croston,100.0,"az=0.5,ap=0.05",C,E,3.9,8,12,19,6.0,DI BAWAH MIN,13,73.4,Bad,3,True
LERZIN (CETIRIZIN) SIRUP,data tidak cukup,aturan stok,,-,C,E,10.0,0,10,20,8.0,DI BAWAH MIN,12,,N/A,3,True
PLANTACYD SIRUP,lumpy,-,,-,C,E,2.1,5,8,12,1.0,DI BAWAH MIN,11,,N/A,3,True
CENDO LYTERS TETES MATA,data tidak cukup,aturan stok,,-,C,E,1.7,4,6,9,0.0,DI BAWAH MIN,9,,N/A,3,True
IMBOOST KIDS SIRUP,intermittent,-,,-,C,E,1.8,4,6,10,3.0,DI BAWAH MIN,7,,N/A,3,True
SANMOL FORTE SIRUP,intermittent,-,,-,C,E,2.0,3,5,9,3.0,DI BAWAH MIN,6,,N/A,3,True
Sanadryl DMP 120 ML,intermittent,-,,-,C,E,2.1,6,9,13,7.0,DI BAWAH MIN,6,,N/A,3,True
DOMPERIDONE SIRUP,intermittent,-,,-,C,E,1.3,3,4,7,2.0,DI BAWAH MIN,5,,N/A,3,True
ERLAMICETIN TETES MATA,intermittent,Croston,119.64553495007131,"az=0.05,ap=0.25",C,E,1.7,3,5,8,3.0,DI BAWAH MIN,5,64.9,Bad,3,True
ERLAMICETIN TETES TELINGA,intermittent,SBA,100.0,"az=0.45,ap=0.5",C,E,1.5,2,4,6,1.0,DI BAWAH MIN,5,71.0,Bad,3,True
BIOLYSIN KIDS TAB KUNYAH,data tidak cukup,aturan stok,,-,C,E,0.4,2,2,3,1.0,DI BAWAH MIN,2,,N/A,3,True
PARACETAMOL INFUS,intermittent,-,,-,C,E,0.2,1,1,2,1.0,DI BAWAH MIN,1,,N/A,3,True
HOT IN DCL SALEP 30 gr,data tidak cukup,aturan stok,,-,C,E,0.0,0,0,0,0.0,DI BAWAH MIN,0,,N/A,3,True
SILADEX BIRU SIRUP,data tidak cukup,aturan stok,,-,C,E,0.2,1,2,2,2.0,DI BAWAH MIN,0,,N/A,3,True
GENTAMICYN SALEP,smooth,SES,,alpha=0.3,C,N,18.8,19,38,64,6.0,DI BAWAH MIN,58,,N/A,2,True
KASA STERIL,lumpy,-,,-,C,N,13.0,48,61,93,44.0,DI BAWAH MIN,49,,N/A,2,True
ACYCLOVIR TABLET,intermittent,Croston,100.0,"az=0.05,ap=0.05",A,V,226.3,350,576,947,1404.0,aman,0,81.2,Bad,6,False
CTM TABLET,lumpy,-,,-,A,V,216.7,722,939,1455,1600.0,aman,0,,N/A,6,False
METRONIDAZOLE 500MG TABLET,smooth,SES,690.272826305322,alpha=0.41,A,V,114.2,142,256,429,340.0,aman,0,160.2,Tidak Layak,6,False
ACETYLCYSTEIN KAP,smooth,SES,88.10762525212283,alpha=0.85,A,E,629.5,491,1121,1954,1170.0,aman,0,67.1,Bad,5,False
AMLODIPINE 10 MG TABLET,smooth,SES,24.14639394067506,alpha=0.13,B,V,45.8,40,85,147,477.0,aman,0,60.8,Bad,5,False
AMLODIPINE 5 MG,smooth,SES,18.061624417742088,alpha=0.31,B,V,90.5,33,123,227,325.0,aman,0,65.4,Bad,5,False
ASAM MEFENAMAT 500 MG TABLET,erratic,SES,26.944500960885136,alpha=0.41,A,E,277.5,495,773,1255,960.0,aman,0,56.2,Bad,5,False
CETIRIZINE 10 MG TABLET,smooth,SES,44.18122603483766,alpha=0.01,A,E,343.8,394,737,1244,925.0,aman,0,79.7,Bad,5,False
CIPROFLOXASIN 500 MG TABLET,smooth,SES,84.50720761953848,alpha=0.83,B,V,79.0,82,161,274,652.0,aman,0,56.1,Bad,5,False
DOMPERIDONE TABLET,erratic,SES,92.5508311075969,alpha=0.99,A,E,322.7,493,815,1342,1030.0,aman,0,84.0,Bad,5,False
METHYLPREDNISOLON 8MG TAB,lumpy,-,,-,A,E,385.1,1301,1686,2609,2040.0,aman,0,,N/A,5,False
OMEGTAMINE TAB,intermittent,-,,-,A,E,115.3,185,301,493,1137.0,aman,0,,N/A,5,False
RANITIDINE TABLET,smooth,SES,81.92161631814845,alpha=0.01,A,E,438.8,501,940,1586,1000.0,aman,0,99.8,Bad,5,False
SCOPMA PLUS (HYOSCINE + PARASETAMOL) TABLET,erratic,SES,95.07907812595593,alpha=0.79,A,E,210.2,333,543,891,641.0,aman,0,78.5,Bad,5,False
ACYCLOVIR SALEP,intermittent,Croston,100.0,"az=0.05,ap=0.05",C,V,15.7,24,39,65,63.0,aman,0,76.7,Bad,4,False
AMBROXOL TABLET,lumpy,-,,-,B,E,90.0,361,451,690,1690.0,aman,0,,N/A,4,False
AMOXICILLIN TABLET,erratic,SES,,alpha=0.3,B,E,131.7,197,329,543,644.0,aman,0,,N/A,4,False
AZITROMICYN TABLET,erratic,SES,58.36155378388502,alpha=0.41,B,E,31.2,53,84,137,146.0,aman,0,64.8,Bad,4,False
BENOSON-M SALEP,lumpy,-,,-,C,V,0.9,3,4,6,5.0,aman,0,,N/A,4,False
"BISOPROLOL 2,5MG",data tidak cukup,aturan stok,,-,C,V,0.0,0,0,0,590.0,aman,0,,N/A,4,False
BISOPROROL 5 TABLET,lumpy,-,,-,C,V,14.6,34,48,77,325.0,aman,0,,N/A,4,False
CAIRAN INFUS NACL 500ML,lumpy,Croston,539.3544317992654,"az=0.3,ap=0.05",C,V,6.8,14,21,34,23.0,aman,0,131.9,Tidak Layak,4,False
CALORTUSIN TABLET,lumpy,-,,-,B,E,60.8,283,344,522,510.0,aman,0,,N/A,4,False
CANDESARTAN 16MG TAB,data tidak cukup,aturan stok,,-,C,V,2.5,14,17,25,170.0,aman,0,,N/A,4,False
CANDESARTAN 8MG TAB,data tidak cukup,aturan stok,,-,C,V,0.8,5,6,9,290.0,aman,0,,N/A,4,False
"CAPTOPRIL 12,5MG TABLET",intermittent,-,,-,C,V,1.2,5,7,10,201.0,aman,0,,N/A,4,False
CEFIXIME 200MG,data tidak cukup,aturan stok,,-,B,E,213.0,352,565,924,1146.0,aman,0,,N/A,4,False
Candesartan 8mg Tab,intermittent,-,,-,C,V,11.6,40,52,79,300.0,aman,0,,N/A,4,False
FG TROCES TABLET,erratic,SES,33.2194779942038,alpha=0.01,B,E,68.1,124,192,311,447.0,aman,0,72.9,Bad,4,False
GABAPENTIN 100MG,data tidak cukup,aturan stok,,-,C,V,0.8,5,6,9,90.0,aman,0,,N/A,4,False
HANSAPLAST PLESTER,data tidak cukup,aturan stok,,-,C,V,0.0,0,0,0,337.0,aman,0,,N/A,4,False
HEVIT PLUS TAB,intermittent,Croston,80.07706335666805,"az=0.05,ap=0.05",B,E,73.3,244,317,492,320.0,aman,0,92.7,Bad,4,False
HYDROCORTISON CREAM 1%,data tidak cukup,aturan stok,,-,C,V,0.1,1,1,2,18.0,aman,0,,N/A,4,False
INTERZINC SIRUP,intermittent,Croston,100.0,"az=0.05,ap=0.05",C,V,0.2,1,1,2,5.0,aman,0,96.8,Bad,4,False
KETONAZOLE 200MG TABLET,lumpy,SBA,771.1839603358849,"az=0.05,ap=0.35",C,V,20.8,49,70,111,340.0,aman,0,216.0,Tidak Layak,4,False
L-BIO,intermittent,Croston,100.0,"az=0.05,ap=0.05",C,V,7.8,20,28,44,86.0,aman,0,70.8,Bad,4,False
LACYS (ACETYLSISTEIN),data tidak cukup,aturan stok,,-,B,E,249.7,583,833,1324,3204.0,aman,0,,N/A,4,False
PAMOL TAB 500MG (PARACETAMOL TAB),data tidak cukup,aturan stok,,-,B,E,901.0,0,901,1802,3886.0,aman,0,,N/A,4,False
PARACETAMOL 500MG TABLET,data tidak cukup,aturan stok,,-,C,V,0.0,0,0,0,,tidak diketahui,0,,N/A,4,False
RANIGEN (RANITIDIN) TABLET,data tidak cukup,aturan stok,,-,C,V,0.0,0,0,0,2338.0,aman,0,,N/A,4,False
SANGOBION KAPSUL,erratic,SES,22.596021830337673,alpha=0.17,B,E,68.8,113,182,297,380.0,aman,0,55.6,Bad,4,False
TRANSAMIN (ASAM TRANEXAMAT 500MG) TABLET,erratic,SES,157.51844119178264,alpha=0.69,B,E,65.5,102,167,275,214.0,aman,0,105.4,Tidak Layak,4,False
TUSELIX (TRIPROLIDIN =~ PSEUDOEFEDRIN) TAB,data tidak cukup,aturan stok,,-,B,E,51.3,281,333,500,374.0,aman,0,,N/A,4,False
URINTER TABLET,intermittent,Croston,41.041770564529365,"az=0.05,ap=0.5",B,E,25.8,40,66,108,290.0,aman,0,70.9,Bad,4,False
"Verban elastis 10cm x 4,5m",intermittent,SBA,335.56585677749354,"az=0.05,ap=0.05",C,V,1.6,4,6,9,13.0,aman,0,58.0,Bad,4,False
ZINK TABLET,lumpy,-,,-,C,V,9.2,46,55,83,190.0,aman,0,,N/A,4,False
ACITRAL TAB,data tidak cukup,aturan stok,,-,C,E,11.7,44,55,85,180.0,aman,0,,N/A,3,False
ALLOPURINOL TABLET,intermittent,SBA,51.900058345840215,"az=0.05,ap=0.05",C,E,13.8,27,41,65,565.0,aman,0,79.5,Bad,3,False
AMBROXOL SIRUP,data tidak cukup,aturan stok,,-,C,E,3.0,0,3,6,28.0,aman,0,,N/A,3,False
AMOXCICILIN SIRUP,intermittent,SBA,99.36611527292422,"az=0.4,ap=0.05",C,E,2.0,3,5,8,12.0,aman,0,33.3,Good,3,False
ANTASIDA TABLET,data tidak cukup,aturan stok,,-,C,E,20.4,112,133,199,1155.0,aman,0,,N/A,3,False
ANTRAIN TAB (METAMIZOLE SODIUM),data tidak cukup,aturan stok,,-,C,E,3.3,16,19,29,150.0,aman,0,,N/A,3,False
