obat,kategori_demand,metode_terbaik,WAPE,MAPE,MAD,MSE,mutu
HEVIT PLUS TAB,intermittent,Croston,92.7,84.9,206.29,63549.43,Bad
HISTIGO (BETAHISTIN) 6 MG TABLET,smooth,SES,86.0,97.9,41.27,2013.23,Bad
HOT IN CREAM  60G,intermittent,-,,,,,N/A
HOT IN DCL SALEP 30 gr,data tidak cukup,aturan stok,,,,,N/A
HUFABETHAMINE SIRUP,erratic,SES,62.1,62.7,7.77,62.3,Bad
HUFAGRIP BP HIJAU SIRUP,intermittent,Croston,73.4,56.5,2.2,6.25,Bad
HYDROCORTISON CREAM 1%,data tidak cukup,aturan stok,,,,,N/A
HYDROCORTISONE SALEP,lumpy,SBA,56.5,29.0,0.28,0.08,Bad
IBUPROFEN 400MG TABLET,lumpy,-,,,,,N/A
"ILIADIN SPRAY 0,05%",data tidak cukup,aturan stok,,,,,N/A
IMBOOST KIDS SIRUP,intermittent,-,,,,,N/A
IMBOOST TABLET,data tidak cukup,aturan stok,,,,,N/A
INERSONE SALEP,data tidak cukup,aturan stok,,,,,N/A
INFUSET MAKRO,data tidak cukup,aturan stok,,,,,N/A
INTERZINC SIRUP,intermittent,Croston,96.8,94.8,0.48,0.45,Bad
INTRIZIN TAB (CETIRIZIN),lumpy,-,,,,,N/A
Infuset Dewasa,data tidak cukup,aturan stok,,,,,N/A
KALBION TAB,data tidak cukup,aturan stok,,,,,N/A
KASA,data tidak cukup,aturan stok,,,,,N/A
KASA STERIL,lumpy,-,,,,,N/A
KENALOG SALEP,intermittent,Croston,80.1,67.5,1.2,2.12,Bad
KETOCONAZOLE SALEP,lumpy,Croston,85.5,33.7,1.28,1.72,Bad
KETONAZOLE 200MG TABLET,lumpy,SBA,216.0,127.7,10.8,120.47,Tidak Layak
KETOROLAC INJEKSI,erratic,SES,26.0,22.9,1.3,2.71,Good
Kasa Non Steril,data tidak cukup,aturan stok,,,,,N/A
L-BIO,intermittent,Croston,70.8,52.3,5.67,39.45,Bad
LACTO B,intermittent,-,,,,,N/A
LACYS (ACETYLSISTEIN),data tidak cukup,aturan stok,,,,,N/A
LANSOPRAZOLE KAPSUL,lumpy,SBA,150.3,73.7,7.51,56.49,Tidak Layak
LASAL SIRUP,data tidak cukup,aturan stok,,,,,N/A
LERZIN (CETIRIZIN) SIRUP,data tidak cukup,aturan stok,,,,,N/A
LIBROFED (TRIPROLIDIN =~ PSEUDOEFEDRIN) TAB,data tidak cukup,aturan stok,,,,,N/A
Lidocain injeksi,data tidak cukup,aturan stok,,,,,N/A
MADU TJ SACHET,lumpy,Croston,111.5,92.8,15.05,326.89,Tidak Layak
METHYLPREDNISOLON 8MG TAB,lumpy,-,,,,,N/A
METHYLPREDNISOLONE 4 MG TABLET,erratic,SES,49.9,49.0,249.55,76598.21,Good
METRONIDAZOLE 500MG TABLET,smooth,SES,160.2,291.3,32.04,1569.92,Tidak Layak
MICROLAX RECTAL,data tidak cukup,aturan stok,,,,,N/A
NATRIUM DIKLOFENAK 50 MG TAB,data tidak cukup,aturan stok,,,,,N/A
NEO-PROTIFED (TRIPROLIDIN + PSEUDOEFEDRIN) TAB,intermittent,-,,,,,N/A
NEURALGIN TABLET,intermittent,-,,,,,N/A
NEUROBION FORTE/PINK TABLET,lumpy,SBA,128.2,64.4,9.62,92.46,Tidak Layak
NEUROBION PUTIH TABLET,smooth,SES,33.7,31.9,56.05,4332.84,Good
Norages Injeksi,data tidak cukup,aturan stok,,,,,N/A
OMEGTAMINE TAB,intermittent,-,,,,,N/A
OMEPRAZOLE KAPSUL,erratic,SES,63.1,49.7,138.81,33913.82,Bad
ONDANSETRON 4MG TABLET,intermittent,-,,,,,N/A
ONDANSETRON INJEKSI,intermittent,-,,,,,N/A
ORALITE,smooth,SES,85.5,86.9,92.8,11673.94,Bad
PAMOL TAB 500MG (PARACETAMOL TAB),data tidak cukup,aturan stok,,,,,N/A
PARACETAMOL 500MG TABLET,data tidak cukup,aturan stok,,,,,N/A
PARACETAMOL INFUS,intermittent,-,,,,,N/A
PECTORIN EXP SIRUP,data tidak cukup,aturan stok,,,,,N/A
PLANTACYD SIRUP,lumpy,-,,,,,N/A
POLYSILANE 100ML,data tidak cukup,aturan stok,,,,,N/A
POLYSILANE TABLET,lumpy,-,,,,,N/A
PROMAVIT TABLET,data tidak cukup,aturan stok,,,,,N/A
PROME SIRUP,lumpy,-,,,,,N/A
PROMEDEX TAB,lumpy,SBA,145.3,60.9,179.41,33025.73,Tidak Layak
PULMICORT NEBULIZER,intermittent,-,,,,,N/A
RANIGEN (RANITIDIN) TABLET,data tidak cukup,aturan stok,,,,,N/A
RANITIDINE INJEKSI,data tidak cukup,aturan stok,,,,,N/A
RANITIDINE TABLET,smooth,SES,99.8,155.0,379.4,193908.2,Bad
RHINOS TABLET,data tidak cukup,aturan stok,,,,,N/A
SALBUTAMOL 2 MG TABLET,lumpy,Croston,72.1,54.4,3.61,16.38,Bad
SANGOBION KAPSUL,erratic,SES,55.6,51.0,23.36,775.43,Bad
SANMOL FORTE SIRUP,intermittent,-,,,,,N/A
SANMOL SIRUP,data tidak cukup,aturan stok,,,,,N/A
SCABICID (PERMEHETRIN 5%) CREAM 10G,intermittent,-,,,,,N/A
SCABIMITE SALEB 10G,data tidak cukup,aturan stok,,,,,N/A
SCABIMITE SALEB 30G,data tidak cukup,aturan stok,,,,,N/A
SCOPMA PLUS (HYOSCINE + PARASETAMOL) TABLET,erratic,SES,78.5,87.6,39.64,1853.8,Bad
SCOPMA TAB (HYOSCINE BUTYLBROMIDE),data tidak cukup,aturan stok,,,,,N/A
SELCOM C TABLET,lumpy,-,,,,,N/A
SILADEX BIRU SIRUP,data tidak cukup,aturan stok,,,,,N/A
SIMVASTATIN 10 MG TABLET,data tidak cukup,aturan stok,,,,,N/A
SIMVASTATIN 20 MG TABLET,intermittent,Croston,90.9,85.1,4.54,36.35,Bad
STIK ASAM URAT,intermittent,Croston,107.1,94.9,13.39,286.25,Tidak Layak
STIK CHOLESTROL,intermittent,Croston,107.1,94.9,10.71,183.2,Tidak Layak
SUCRALFATE SIRUP,lumpy,-,,,,,N/A
Sanadryl DMP 120 ML,intermittent,-,,,,,N/A
Sanadryl Ekspektoran 120 ml,data tidak cukup,aturan stok,,,,,N/A
TEMPRA SIRUP,data tidak cukup,aturan stok,,,,,N/A
THROMBOPOP Gel,data tidak cukup,aturan stok,,,,,N/A
TIFALSIC (PARASETAMOL + IBUPROFEN) TABLET,intermittent,-,,,,,N/A
TRANSAMIN (ASAM TRANEXAMAT 500MG) TABLET,erratic,SES,105.4,253.9,60.58,3727.36,Tidak Layak
TREMENZA TAB,data tidak cukup,aturan stok,,,,,N/A
TRIANTA TABLET,lumpy,-,,,,,N/A
TUSELIX (TRIPROLIDIN =~ PSEUDOEFEDRIN) TAB,data tidak cukup,aturan stok,,,,,N/A
ULTRAFIX,data tidak cukup,aturan stok,,,,,N/A
URINTER TABLET,intermittent,Croston,70.9,60.5,31.19,1468.0,Bad
VENTOLIN NEBULLIZER,intermittent,-,,,,,N/A
VENTOLIN SIRUP,data tidak cukup,aturan stok,,,,,N/A
"Verban elastis 10cm x 4,5m",intermittent,SBA,58.0,13.8,0.58,0.43,Bad
"Verban elastis 15cm x 4,5m",intermittent,-,,,,,N/A
"Verban elastis 7,5cm x 4,5m",lumpy,-,,,,,N/A
WOODS ANTITUSIVE SIRUP 100ML,lumpy,SBA,133.5,57.2,0.67,0.45,Tidak Layak
WOODS EKSPEKTORAN SIRUP 100ML,smooth,SES,58.3,58.0,1.46,2.22,Bad
ZEGAVIT TABLET,intermittent,-,,,,,N/A
ZINK TABLET,lumpy,-,,,,,N/A
superhoid Supp,data tidak cukup,aturan stok,,,,,N/A
