obat,volume,cv,frekuensi,stok,cluster,segmen
ONDANSETRON INJEKSI,6.888888888888889,0.7755364696884715,9,42.833333333333336,4,Medium-moving fluktuatif
ORALITE,108.18181818181819,0.4265746861403411,11,174.25,1,Fast-moving stabil
PARACETAMOL 500MG TABLET,0.0,0.0,2,0.0,0,Slow-moving stabil
PARACETAMOL INFUS,1.0,0.0,2,1.5833333333333333,0,Slow-moving stabil
PECTORIN EXP SIRUP,2.0,0.0,1,0.0,0,Slow-moving stabil
PLANTACYD SIRUP,3.5714285714285716,0.8836288813749809,7,7.083333333333333,4,Medium-moving fluktuatif
POLYSILANE 100ML,10.0,0.0,1,0.0,0,Slow-moving stabil
POLYSILANE TABLET,100.0,1.3590192542172952,6,158.66666666666666,2,Fast-moving fluktuatif
PROMAVIT TABLET,15.0,0.0,1,10.0,0,Slow-moving stabil
PROME SIRUP,10.333333333333334,1.078596999825838,3,26.666666666666668,3,Slow-moving fluktuatif
PROMEDEX TAB,1080.0,0.9314246448310396,4,591.5,2,Fast-moving fluktuatif
PULMICORT NEBULIZER,1.3333333333333333,0.3535533905932738,3,2.75,0,Slow-moving stabil
RANITIDINE TABLET,485.27272727272725,0.5993470029100791,11,1194.6666666666667,1,Fast-moving stabil
SALBUTAMOL 2 MG TABLET,21.25,0.916968074595288,4,243.33333333333334,2,Fast-moving fluktuatif
SANADRYL DMP 120 ML,4.166666666666667,0.9935793878699376,6,4.333333333333333,3,Slow-moving fluktuatif
SANGOBION KAPSUL,50.18181818181818,0.5124282420140508,11,440.75,1,Fast-moving stabil
SANMOL FORTE SIRUP,3.125,0.40595566260368876,8,6.083333333333333,4,Medium-moving fluktuatif
SANMOL SIRUP,0.0,0.0,1,1.0,0,Slow-moving stabil
SCABICID (PERMEHETRIN 5%) CREAM 10G,2.3333333333333335,0.5345224838248487,3,5.0,0,Slow-moving stabil
SCABIMITE SALEB 10G,0.5,1.0,2,0.0,3,Slow-moving fluktuatif
SCOPMA PLUS (HYOSCINE + PARASETAMOL) TABLET,168.0,0.8529803631367656,11,998.4166666666666,1,Fast-moving stabil
SELCOM C TABLET,197.5,0.9240506329113924,2,445.0,2,Fast-moving fluktuatif
SILADEX BIRU SIRUP,1.0,1.0,2,2.0,3,Slow-moving fluktuatif
SIMVASTATIN 10 MG TABLET,10.0,0.0,1,290.0,5,Medium-moving stabil
SIMVASTATIN 20 MG TABLET,15.0,0.3333333333333333,2,268.75,5,Medium-moving stabil
STIK ASAM URAT,8.333333333333334,1.414213562373095,3,72.91666666666667,3,Slow-moving fluktuatif
STIK CHOLESTROL,6.666666666666667,1.4142135623730947,3,30.833333333333332,3,Slow-moving fluktuatif
SUCRALFATE SIRUP,5.0,0.7483314773547882,3,10.833333333333334,3,Slow-moving fluktuatif
TEMPRA SIRUP,1.0,1.0,2,0.0,3,Slow-moving fluktuatif
TIFALSIC (PARASETAMOL + IBUPROFEN) TABLET,10.0,0.816496580927726,3,611.3333333333334,2,Fast-moving fluktuatif
TRANSAMIN (ASAM TRANEXAMAT 500MG) TABLET,77.9090909090909,0.9239993152210006,11,506.5833333333333,1,Fast-moving stabil
TREMENZA TAB,200.0,0.0,1,100.0,5,Medium-moving stabil
TRIANTA TABLET,140.45454545454547,1.1722985494067861,11,251.25,1,Fast-moving stabil
URINTER TABLET,35.714285714285715,0.5256919249902932,7,207.5,2,Fast-moving fluktuatif
VENTOLIN NEBULLIZER,4.0,0.39528470752104744,4,8.416666666666666,0,Slow-moving stabil
VENTOLIN SIRUP,1.0,0.0,1,0.0,0,Slow-moving stabil
"VERBAN ELASTIS 10CM X 4,5M",3.8,0.5102820902543505,5,17.0,4,Medium-moving fluktuatif
"VERBAN ELASTIS 15CM X 4,5M",5.5,0.09090909090909091,2,16.0,0,Slow-moving stabil
"VERBAN ELASTIS 7,5CM X 4,5M",2.8,0.8268454930564448,5,17.416666666666668,4,Medium-moving fluktuatif
WOODS ANTITUSIVE SIRUP 100ML,4.111111111111111,1.2740025675019109,9,4.916666666666667,4,Medium-moving fluktuatif
WOODS EKSPEKTORAN SIRUP 100ML,6.7,0.6082890708153681,10,9.916666666666666,4,Medium-moving fluktuatif
ZEGAVIT TABLET,194.4,0.443648311482788,10,361.0,1,Fast-moving stabil
ZINK TABLET,15.714285714285714,2.200676079438219,7,190.0,3,Slow-moving fluktuatif
